Post_ID,Size,Depth,Max_Breadth,Mean_Breadth,Unique_Users,Duration_Minutes,Mean_Interval
1pzyr8h,10,2,5,3.3333333333333335,6,2465.733333333333,246.57333333333332
1q0sd0k,46,4,22,9.2,35,2714.6666666666665,59.01449275362319
1q17lc5,191,11,76,15.916666666666666,119,45042.23333333333,235.82321116928446
1q184ws,31,3,17,7.75,28,7173.25,231.3951612903226
1q20uda,12,3,9,3.0,11,4292.366666666667,357.69722222222225
1q4nzwd,54,7,28,6.75,39,2813.45,52.10092592592592
1q2epy0,4,1,3,2.0,4,1584.0833333333333,396.0208333333333
1q5jiqq,38,5,24,6.333333333333333,33,15897.016666666666,418.34254385964914
1q5qzu6,50,7,28,6.25,42,8923.833333333334,178.4766666666667
1q7a0ns,84,5,49,14.0,70,6365.55,75.78035714285714
1q7ksel,69,8,34,7.666666666666667,56,6922.55,100.3268115942029
1q88nsx,42,5,24,7.0,29,4634.033333333334,110.334126984127
1q8jd6b,32,2,20,10.666666666666666,30,5960.983333333334,186.28072916666667
1q9117s,57,7,14,7.125,39,2371.75,41.60964912280702
1q9lnqs,54,4,28,10.8,40,143499.48333333334,2657.397839506173
1qawsp2,36,5,14,6.0,24,7660.316666666667,212.78657407407408
1qb5ggd,179,8,131,19.88888888888889,153,6854.25,38.29189944134078
1qbazb2,40,5,26,6.666666666666667,37,28537.666666666668,713.4416666666667
1qd3l7s,32,4,13,6.4,30,3047.4166666666665,95.23177083333333
1qdh7v1,39,4,20,7.8,32,72326.31666666667,1854.52094017094
1qee9bs,57,14,23,3.8,37,17969.183333333334,315.24883040935674
1qefhtn,53,7,20,6.625,31,43272.46666666667,816.4616352201258
1qeoaoi,11,2,9,3.6666666666666665,10,3122.5666666666666,283.869696969697
1qetv9x,75,7,22,9.375,60,21372.033333333333,284.9604444444444
1qfceez,199,9,109,19.9,163,1867.75,9.385678391959798
1qfswzj,15,4,6,3.0,10,22548.583333333332,1503.2388888888888
1qga50i,23,4,9,4.6,19,1620.15,70.44130434782609
1qhlfqz,84,6,34,12.0,55,15118.883333333333,179.98670634920634
1qgsnls,15,3,9,3.75,15,4935.633333333333,329.0422222222222
1qikdlr,26,5,14,4.333333333333333,20,4100.016666666666,157.6929487179487
1qj0ea9,14,3,8,3.5,11,1992.8166666666666,142.34404761904761
1qjf3ei,167,7,76,20.875,124,6744.016666666666,40.38333333333333
1qjgabf,124,7,84,15.5,109,72728.11666666667,586.5170698924732
1qjrt60,43,4,22,8.6,35,2698.1,62.746511627906976
1qjvcf8,22,3,11,5.5,16,6941.983333333334,315.544696969697
1qkuwdm,10,4,4,2.0,7,5230.7,523.0699999999999
1qkuxmy,19,2,10,6.333333333333333,11,2951.6666666666665,155.35087719298244
1qnp4ij,58,9,26,5.8,47,5146.966666666666,88.74080459770114
1qmxf8p,11,2,5,3.6666666666666665,11,23874.383333333335,2170.398484848485
1qpa98f,14,2,10,4.666666666666667,14,1895.8666666666666,135.4190476190476
1qpbi0r,47,7,25,5.875,35,6730.783333333334,143.2081560283688
1qpv0wr,122,7,49,15.25,89,5753.75,47.16188524590164
1qqm7mg,119,13,48,8.5,81,64022.666666666664,538.0056022408963
1qqnfg5,9,2,4,3.0,8,861.5333333333333,95.72592592592592
1qr8xml,45,4,22,9.0,37,4401.733333333334,97.8162962962963
1qra3g0,26,3,16,6.5,23,5437.683333333333,209.14166666666668
1qs8khc,63,5,30,10.5,42,2791.05,44.30238095238096
1qrkjdq,16,4,9,3.2,15,2387.0,149.1875
